,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita
10,"třída SNP, Hradec Králové - Slezské Předměstí",3 499 000 Kč za nemovitost,N96124,Dnes,Cihlová,Dobrý,Osobní,Klidná část obce,4. podlaží z celkem 4 včetně 1 podzemního,54 m2,2 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,0,0,NEXT REALITY PARDUBICE,461.57894736842104,10,,Veřejná kanalizace,,52 m2,,,,včetně kompletních služeb RK a právního servisu,,,,,Plynovod,,,,3700,,,,,,,,,,,,,,,,,,
11,"V Štíhlách, Praha 4 - Krč",4 200 000 Kč za nemovitost,L1813-8,Dnes,Panelová,Dobrý,Osobní,,1. podlaží,39 m2,1,,Místní zdroj,Ústřední dálkové,,MHD,,Třída G - Mimořádně nehospodárná,,1,,,Plavec Reality,825.55,11,,Veřejná kanalizace,Internet,,,,,"Cena je konečná, zahrnuje odměnu realitní kanceláře včetně právního servisu.",,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
12,"Jičínská, Mladá Boleslav - Mladá Boleslav III",5 400 000 Kč za nemovitost,0273-NP01856,Dnes,Cihlová,Velmi dobrý,Osobní,Centrum obce,4. podlaží z celkem 4,87 m2,3 m2,,Dálkový vodovod,Ústřední dálkové,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,1,,RE/MAX Partner,647.3157894736842,12,6 m2,Veřejná kanalizace,,87 m2,,,,"vč. provize, kompletního realitního a právního servisu",,,1 m2,,Plynovod,"164,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
13,"Písečná, Hradec Králové - Nový Hradec Králové",,,Dnes,Panelová,Dobrý,Osobní,,1. podlaží,64 m2,,,,,,,,,,,,,OKdražby.cz,572.2631578947369,13,,,,,,,,,,,,,,,,,,,2 837 333 Kč za nemovitost,4 256 000 Kč za nemovitost,10 000 Kč za nemovitost,280 000 Kč za nemovitost,2846107468,Exekutorská dražba,https://www.okdrazby.cz/drazba/55804-byt-3-1-s-balkonem-a-sklepni-koji-o-celkove-vymere-64-45-m2-v-n,16.11.2022 11:00,Zobrazit dražební vyhlášku,Zobrazit posudek znalce,,,,,,,
14,"Černého, Praha 8 - Střížkov",4 499 000 Kč za nemovitost (k jednání),6970,Dnes,Panelová,Před rekonstrukcí,Družstevní,Klidná část obce,5. podlaží z celkem 11,70 m2,2 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,0,1,GEPARD REALITY/Living,896.4761904761905,14,,Veřejná kanalizace,"Telefon, Internet, Satelit",67 m2,,,,,,,1,Ne,,"60,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
15,"Želiv, okres Pelhřimov",2 690 000 Kč za nemovitost,4596,Dnes,Cihlová,Velmi dobrý,Družstevní,Klidná část obce,3. podlaží z celkem 3,56 m2,1,Ihned,Dálkový vodovod,Ústřední tuhá paliva,230V,"Dálnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,,0,Reality Vysočina,1311.4545454545455,15,,Veřejná kanalizace,,,,,,včetně provize RK a právního servisu,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16,"tř. Budovatelů, Most",990 000 Kč za nemovitost,01843,Včera,Cihlová,Velmi dobrý,Osobní,,5. podlaží,54 m2,1,,Dálkový vodovod,Ústřední dálkové,,,,Třída G - Mimořádně nehospodárná,,,,1,Jaroš & Partners Real Estate,333.1666666666667,16,,Veřejná kanalizace,,,,,,"včetně provize, včetně právního servisu",,,1,,,,,,,,,,,,,,,,,,,,,,,,
17,"Štěpánská, Kladno - Kročehlavy",3 990 000 Kč za nemovitost,01855,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,4. podlaží,42 m2,,,Dálkový vodovod,Ústřední dálkové,,Autobus,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,Částečně,0,Jaroš & Partners Real Estate,738.5263157894736,17,7 m2,Veřejná kanalizace,Internet,,,,,"+ provize RK, včetně právního servisu",,2000,,,,"108,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
18,"Španielova, Praha 6 - Řepy",7 490 000 Kč za nemovitost,01929,Včera,Panelová,Velmi dobrý,Osobní,,7. podlaží,82 m2,,,Dálkový vodovod,Ústřední dálkové,,"Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,Částečně,1,Jaroš & Partners Real Estate,979.3333333333334,18,7 m2,Veřejná kanalizace,,,,,,včetně provize,,,,,,"80,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
19,"Litevská, Kladno - Kročehlavy",4 600 000 Kč za nemovitost,01963,Včera,Panelová,Velmi dobrý,Osobní,,2. podlaží z celkem 12,84 m2,,,,Ústřední dálkové,,,,Třída G - Mimořádně nehospodárná,,,Částečně,1,Jaroš & Partners Real Estate,736.3888888888889,19,1,Veřejná kanalizace,,,,,,"+ provize RK, včetně právního servisu",,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Rabštejnská, Plzeň - Bolevec",,255,Včera,Panelová,Dobrý,Osobní,,6. podlaží z celkem 7,88 m2,,Ihned,,,,,,,,0,,,AGbydleni.cz,986.0,20,,,,85 m2,,,,,,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
21,"Teslova, Brno - Horní Heršpice",9 500 000 Kč za nemovitost,08221612,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,1. podlaží,148 m2,92 m2,,Dálkový vodovod,,230V,,,Třída G - Mimořádně nehospodárná,,,Částečně,,CENTURY 21 All Inclusive,1276.95,21,9 m2,Veřejná kanalizace,,,,,,včetně provize,2,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Sládkova, Skuteč",1 760 000 Kč za nemovitost,00389,Včera,Panelová,Dobrý,Družstevní,,5. podlaží,34 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,,,1,HARVILLA - REALITY s.r.o.,773.6666666666666,22,1,,,34 m2,,,,"včetně DPH, včetně provize, včetně právního servisu",,,1,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
